11/09/19 20:48,VFL Berlin  -  VFL Edinburgh,2:0,3:0,15,Season 61441
11/09/19 20:48,VFL Lisbon  -  VFL Madrid,2:1,2:2,15,Season 61441
11/09/19 20:48,VFL Oslo  -  VFL Copenhagen,1:0,3:0,15,Season 61441
11/09/19 20:48,VFL Brussels  -  VFL Athens,3:0,3:0,15,Season 61441
11/09/19 20:48,VFL Amsterdam  -  VFL Bern,0:2,0:2,15,Season 61441
11/09/19 20:48,VFL Ankara  -  VFL Paris,2:0,3:0,15,Season 61441
11/09/19 20:48,VFL Rome  -  VFL London,0:0,1:1,15,Season 61441
11/09/19 20:48,VFL Stockholm  -  VFL Vienna,0:0,1:0,15,Season 61441
11/09/19 20:53,VFL Oslo  -  VFL Paris,3:0,5:0,16,Season 61441
11/09/19 20:53,VFL Ankara  -  VFL Edinburgh,3:0,3:0,16,Season 61441
11/09/19 20:53,VFL Brussels  -  VFL Madrid,1:0,1:1,16,Season 61441
11/09/19 20:53,VFL Vienna  -  VFL Berlin,1:0,2:1,16,Season 61441
11/09/19 20:53,VFL Stockholm  -  VFL Athens,0:1,1:1,16,Season 61441
11/09/19 20:53,VFL Lisbon  -  VFL Bern,1:0,2:1,16,Season 61441
11/09/19 20:53,VFL Rome  -  VFL Copenhagen,0:0,0:1,16,Season 61441
11/09/19 20:53,VFL Amsterdam  -  VFL London,1:1,1:1,16,Season 61441
11/09/19 20:57,VFL Berlin  -  VFL Ankara,1:0,2:1,17,Season 61441
11/09/19 20:57,VFL London  -  VFL Lisbon,1:0,2:1,17,Season 61441
11/09/19 20:57,VFL Paris  -  VFL Rome,3:1,3:2,17,Season 61441
11/09/19 20:57,VFL Copenhagen  -  VFL Amsterdam,0:0,0:0,17,Season 61441
11/09/19 20:57,VFL Edinburgh  -  VFL Oslo,0:0,1:1,17,Season 61441
11/09/19 20:57,VFL Athens  -  VFL Vienna,2:0,2:0,17,Season 61441
11/09/19 20:57,VFL Madrid  -  VFL Stockholm,1:2,3:2,17,Season 61441
11/09/19 20:57,VFL Bern  -  VFL Brussels,0:1,1:2,17,Season 61441
11/09/19 21:02,VFL Stockholm  -  VFL Bern,1:0,2:0,18,Season 61441
11/09/19 21:02,VFL Athens  -  VFL Madrid,0:2,0:3,18,Season 61441
11/09/19 21:02,VFL Lisbon  -  VFL Copenhagen,1:1,1:1,18,Season 61441
11/09/19 21:02,VFL Brussels  -  VFL London,0:0,0:1,18,Season 61441
11/09/19 21:02,VFL Vienna  -  VFL Ankara,0:2,1:2,18,Season 61441
11/09/19 21:02,VFL Amsterdam  -  VFL Paris,2:1,3:2,18,Season 61441
11/09/19 21:02,VFL Rome  -  VFL Edinburgh,0:1,0:1,18,Season 61441
11/09/19 21:02,VFL Oslo  -  VFL Berlin,0:0,0:1,18,Season 61441
11/09/19 21:07,VFL Edinburgh  -  VFL Amsterdam,0:2,0:4,19,Season 61441
11/09/19 21:07,VFL Copenhagen  -  VFL Brussels,0:1,0:1,19,Season 61441
11/09/19 21:07,VFL Ankara  -  VFL Oslo,0:2,1:2,19,Season 61441
11/09/19 21:07,VFL Bern  -  VFL Athens,0:2,0:3,19,Season 61441
11/09/19 21:07,VFL Berlin  -  VFL Rome,0:2,0:2,19,Season 61441
11/09/19 21:07,VFL Paris  -  VFL Lisbon,0:1,0:2,19,Season 61441
11/09/19 21:07,VFL London  -  VFL Stockholm,1:1,2:1,19,Season 61441
11/09/19 21:07,VFL Madrid  -  VFL Vienna,0:1,1:1,19,Season 61441
11/09/19 21:11,VFL Madrid  -  VFL Bern,2:0,5:0,20,Season 61441
11/09/19 21:11,VFL Brussels  -  VFL Paris,0:2,0:2,20,Season 61441
11/09/19 21:11,VFL Vienna  -  VFL Oslo,1:0,2:2,20,Season 61441
11/09/19 21:11,VFL Rome  -  VFL Ankara,0:0,1:0,20,Season 61441
11/09/19 21:11,VFL Athens  -  VFL London,2:0,2:0,20,Season 61441
11/09/19 21:11,VFL Lisbon  -  VFL Edinburgh,2:1,3:1,20,Season 61441
11/09/19 21:11,VFL Stockholm  -  VFL Copenhagen,1:0,1:1,20,Season 61441
11/09/19 21:11,VFL Amsterdam  -  VFL Berlin,2:1,4:1,20,Season 61441
11/09/19 21:16,VFL Ankara  -  VFL Amsterdam,1:2,1:5,21,Season 61441
