Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
2,0,VFL Rome,7,5,2,0,14,5,9,17,Season 61520
3,0,VFL Brussels,7,5,1,1,15,8,7,16,Season 61520
4,0,VFL London,7,5,1,1,13,6,7,16,Season 61520
5,-1,VFL Amsterdam,7,4,1,2,16,11,5,13,Season 61520
6,1,VFL Madrid,7,3,2,2,11,5,6,11,Season 61520
7,-1,VFL Athens,7,3,2,2,10,8,2,11,Season 61520
8,-1,VFL Oslo,7,3,2,2,8,7,1,11,Season 61520
9,1,VFL Lisbon,7,2,3,2,8,10,-2,9,Season 61520
10,-1,VFL Paris,7,2,2,3,6,10,-4,8,Season 61520
11,1,VFL Stockholm,7,1,3,3,7,11,-4,6,Season 61520
12,-1,VFL Copenhagen,7,1,2,4,4,9,-5,5,Season 61520
13,1,VFL Ankara,7,1,1,5,7,16,-9,4,Season 61520
14,0,VFL Vienna,7,0,3,4,4,10,-6,3,Season 61520
15,-1,VFL Edinburgh,7,0,3,4,5,14,-9,3,Season 61520
16,1,VFL Bern,7,0,2,5,5,11,-6,2,Season 61520
1,-1,VFL Rome,8,6,2,0,15,5,10,20,Season 61520
2,1,VFL Berlin,8,6,1,1,14,6,8,19,Season 61520
3,0,VFL Brussels,8,5,2,1,16,9,7,17,Season 61520
4,-1,VFL Amsterdam,8,5,1,2,18,12,6,16,Season 61520
5,1,VFL London,8,5,1,2,13,7,6,16,Season 61520
6,0,VFL Madrid,8,4,2,2,16,6,10,14,Season 61520
7,-1,VFL Oslo,8,4,2,2,10,8,2,14,Season 61520
8,1,VFL Athens,8,3,3,2,11,9,2,12,Season 61520
9,0,VFL Lisbon,8,3,3,2,9,10,-1,12,Season 61520
10,0,VFL Paris,8,2,2,4,6,11,-5,8,Season 61520
11,0,VFL Stockholm,8,1,3,4,8,13,-5,6,Season 61520
12,-1,VFL Ankara,8,1,2,5,8,17,-9,5,Season 61520
13,1,VFL Copenhagen,8,1,2,5,5,14,-9,5,Season 61520
14,0,VFL Vienna,8,0,4,4,6,12,-6,4,Season 61520
15,-1,VFL Bern,8,0,3,5,7,13,-6,3,Season 61520
16,1,VFL Edinburgh,8,0,3,5,6,16,-10,3,Season 61520
1,-1,VFL Berlin,9,7,1,1,18,7,11,22,Season 61520
2,-1,VFL Brussels,9,6,2,1,18,10,8,20,Season 61520
3,1,VFL Rome,9,6,2,1,16,9,7,20,Season 61520
4,0,VFL Amsterdam,9,6,1,2,19,12,7,19,Season 61520
5,0,VFL London,9,6,1,2,15,8,7,19,Season 61520
6,0,VFL Madrid,9,4,3,2,17,7,10,15,Season 61520
7,0,VFL Oslo,9,4,3,2,12,10,2,15,Season 61520
8,0,VFL Athens,9,3,3,3,11,10,1,12,Season 61520
9,0,VFL Lisbon,9,3,3,3,10,12,-2,12,Season 61520
10,0,VFL Paris,9,2,3,4,8,13,-5,9,Season 61520
11,0,VFL Stockholm,9,1,4,4,10,15,-5,7,Season 61520
12,0,VFL Ankara,9,1,3,5,10,19,-9,6,Season 61520
13,0,VFL Copenhagen,9,1,3,5,6,15,-9,6,Season 61520
14,0,VFL Vienna,9,0,5,4,7,13,-6,5,Season 61520
15,-1,VFL Edinburgh,9,0,4,5,7,17,-10,4,Season 61520
16,1,VFL Bern,9,0,3,6,8,15,-7,3,Season 61520
1,0,VFL Berlin,10,8,1,1,22,8,14,25,Season 61520
2,-1,VFL Rome,10,7,2,1,19,10,9,23,Season 61520
3,-1,VFL London,10,7,1,2,16,8,8,22,Season 61520
4,1,VFL Brussels,10,6,2,2,18,13,5,20,Season 61520
5,1,VFL Amsterdam,10,6,1,3,20,16,4,19,Season 61520
6,-1,VFL Oslo,10,5,3,2,14,11,3,18,Season 61520
7,1,VFL Madrid,10,4,3,3,17,8,9,15,Season 61520
8,0,VFL Athens,10,4,3,3,12,10,2,15,Season 61520
9,0,VFL Lisbon,10,3,3,4,11,14,-3,12,Season 61520
10,-1,VFL Stockholm,10,2,4,4,13,15,-2,10,Season 61520
11,1,VFL Paris,10,2,3,5,8,14,-6,9,Season 61520
12,0,VFL Ankara,10,1,4,5,10,19,-9,7,Season 61520
13,0,VFL Copenhagen,10,1,4,5,6,15,-9,7,Season 61520
14,0,VFL Vienna,10,0,6,4,7,13,-6,6,Season 61520
15,0,VFL Edinburgh,10,0,5,5,7,17,-10,5,Season 61520
16,0,VFL Bern,10,0,3,7,9,18,-9,3,Season 61520
1,0,VFL Berlin,11,9,1,1,25,8,17,28,Season 61520
2,0,VFL Rome,11,8,2,1,24,11,13,26,Season 61520
3,0,VFL London,11,8,1,2,19,8,11,25,Season 61520
4,-1,VFL Amsterdam,11,7,1,3,23,16,7,22,Season 61520
5,1,VFL Brussels,11,6,3,2,19,14,5,21,Season 61520
6,0,VFL Oslo,11,6,3,2,17,12,5,21,Season 61520
7,-1,VFL Athens,11,4,4,3,13,11,2,16,Season 61520
8,1,VFL Madrid,11,4,3,4,18,13,5,15,Season 61520
9,0,VFL Lisbon,11,4,3,4,14,15,-1,15,Season 61520
10,0,VFL Stockholm,11,2,4,5,14,18,-4,10,Season 61520
11,-1,VFL Vienna,11,1,6,4,9,13,-4,9,Season 61520
12,1,VFL Paris,11,2,3,6,8,17,-9,9,Season 61520
13,1,VFL Ankara,11,1,4,6,10,21,-11,7,Season 61520
14,1,VFL Copenhagen,11,1,4,6,7,18,-11,7,Season 61520
15,0,VFL Edinburgh,11,0,5,6,7,20,-13,5,Season 61520
16,0,VFL Bern,11,0,3,8,9,21,-12,3,Season 61520
1,0,VFL Berlin,12,10,1,1,27,8,19,31,Season 61520
2,0,VFL Rome,12,9,2,1,27,12,15,29,Season 61520
3,0,VFL London,12,9,1,2,23,8,15,28,Season 61520
4,-1,VFL Oslo,12,7,3,2,19,12,7,24,Season 61520
5,1,VFL Amsterdam,12,7,2,3,23,16,7,23,Season 61520
6,1,VFL Brussels,12,6,4,2,19,14,5,22,Season 61520
7,-1,VFL Madrid,12,4,4,4,20,15,5,16,Season 61520
8,1,VFL Athens,12,4,4,4,13,13,0,16,Season 61520
9,0,VFL Lisbon,12,4,4,4,14,15,-1,16,Season 61520
10,-1,VFL Vienna,12,1,7,4,9,13,-4,10,Season 61520
11,1,VFL Stockholm,12,2,4,6,15,21,-6,10,Season 61520
12,-1,VFL Copenhagen,12,2,4,6,10,19,-9,10,Season 61520
13,1,VFL Paris,12,2,3,7,8,19,-11,9,Season 61520
14,1,VFL Ankara,12,1,4,7,10,25,-15,7,Season 61520
15,0,VFL Edinburgh,12,0,5,7,8,23,-15,5,Season 61520
16,0,VFL Bern,12,0,4,8,11,23,-12,4,Season 61520
1,-1,VFL Rome,13,10,2,1,29,12,17,32,Season 61520
2,1,VFL Berlin,13,10,1,2,28,11,17,31,Season 61520
3,0,VFL London,13,9,1,3,24,12,12,28,Season 61520
4,0,VFL Oslo,13,8,3,2,21,12,9,27,Season 61520
5,0,VFL Amsterdam,13,7,2,4,23,18,5,23,Season 61520
6,0,VFL Brussels,13,6,5,2,20,15,5,23,Season 61520
7,0,VFL Madrid,13,5,4,4,23,16,7,19,Season 61520
8,-1,VFL Lisbon,13,5,4,4,18,16,2,19,Season 61520
9,1,VFL Athens,13,5,4,4,14,13,1,19,Season 61520
10,0,VFL Vienna,13,1,8,4,10,14,-4,11,Season 61520
11,0,VFL Stockholm,13,2,5,6,16,22,-6,11,Season 61520
12,0,VFL Copenhagen,13,2,4,7,10,20,-10,10,Season 61520
13,0,VFL Paris,13,2,4,7,9,20,-11,10,Season 61520
14,-1,VFL Bern,13,1,4,8,14,23,-9,7,Season 61520
15,1,VFL Ankara,13,1,4,8,10,27,-17,7,Season 61520
16,1,VFL Edinburgh,13,0,5,8,8,26,-18,5,Season 61520
1,0,VFL Rome,14,11,2,1,31,12,19,35,Season 61520
2,0,VFL Berlin,14,10,2,2,28,11,17,32,Season 61520
3,0,VFL London,14,10,1,3,27,14,13,31,Season 61520
4,0,VFL Oslo,14,8,4,2,23,14,9,28,Season 61520
5,0,VFL Amsterdam,14,8,2,4,26,18,8,26,Season 61520
6,0,VFL Brussels,14,6,6,2,20,15,5,24,Season 61520
7,0,VFL Madrid,14,5,5,4,23,16,7,20,Season 61520
8,-1,VFL Athens,14,5,5,4,14,13,1,20,Season 61520
9,1,VFL Lisbon,14,5,4,5,18,18,0,19,Season 61520
10,0,VFL Vienna,14,1,9,4,10,14,-4,12,Season 61520
11,0,VFL Stockholm,14,2,5,7,18,25,-7,11,Season 61520
12,-1,VFL Paris,14,2,5,7,11,22,-11,11,Season 61520
13,1,VFL Copenhagen,14,2,4,8,10,23,-13,10,Season 61520
14,-1,VFL Ankara,14,2,4,8,13,29,-16,10,Season 61520
15,1,VFL Bern,14,1,4,9,16,26,-10,7,Season 61520
16,0,VFL Edinburgh,14,0,6,8,8,26,-18,6,Season 61520
1,0,VFL Rome,15,11,2,2,32,15,17,35,Season 61520
2,-1,VFL London,15,11,1,3,29,15,14,34,Season 61520
3,1,VFL Berlin,15,10,3,2,29,12,17,33,Season 61520
4,0,VFL Oslo,15,8,4,3,23,15,8,28,Season 61520
5,0,VFL Amsterdam,15,8,3,4,27,19,8,27,Season 61520
6,0,VFL Brussels,15,7,6,2,21,15,6,27,Season 61520
7,0,VFL Madrid,15,6,5,4,25,17,8,23,Season 61520
8,-1,VFL Lisbon,15,5,5,5,18,18,0,20,Season 61520
9,1,VFL Athens,15,5,5,5,15,15,0,20,Season 61520
10,-1,VFL Stockholm,15,3,5,7,21,26,-5,14,Season 61520
11,1,VFL Vienna,15,1,10,4,11,15,-4,13,Season 61520
12,0,VFL Paris,15,2,6,7,11,22,-11,12,Season 61520
13,0,VFL Copenhagen,15,2,5,8,10,23,-13,11,Season 61520
14,0,VFL Ankara,15,2,4,9,14,31,-17,10,Season 61520
15,0,VFL Bern,15,1,5,9,16,26,-10,8,Season 61520
16,0,VFL Edinburgh,15,0,7,8,9,27,-18,7,Season 61520
1,-1,VFL London,16,12,1,3,34,15,19,37,Season 61520
2,1,VFL Rome,16,11,2,3,33,17,16,35,Season 61520
3,0,VFL Berlin,16,10,3,3,30,14,16,33,Season 61520
4,0,VFL Oslo,16,9,4,3,25,16,9,31,Season 61520
5,-1,VFL Brussels,16,7,6,3,22,17,5,27,Season 61520
6,1,VFL Amsterdam,16,8,3,5,27,24,3,27,Season 61520
7,0,VFL Madrid,16,7,5,4,26,17,9,26,Season 61520
8,-1,VFL Athens,16,6,5,5,17,16,1,23,Season 61520
9,1,VFL Lisbon,16,5,5,6,18,19,-1,20,Season 61520
10,-1,VFL Vienna,16,2,10,4,12,15,-3,16,Season 61520
11,1,VFL Stockholm,16,3,5,8,21,27,-6,14,Season 61520
12,-1,VFL Copenhagen,16,3,5,8,12,24,-12,14,Season 61520
13,-1,VFL Ankara,16,3,4,9,16,32,-16,13,Season 61520
14,1,VFL Paris,16,2,6,8,11,23,-12,12,Season 61520
15,0,VFL Bern,16,2,5,9,17,26,-9,11,Season 61520
16,0,VFL Edinburgh,16,0,7,9,10,29,-19,7,Season 61520
1,0,VFL London,17,13,1,3,37,16,21,40,Season 61520
2,0,VFL Rome,17,11,3,3,34,18,16,36,Season 61520
3,0,VFL Berlin,17,10,4,3,31,15,16,34,Season 61520
4,0,VFL Oslo,17,10,4,3,26,16,10,34,Season 61520
5,-1,VFL Madrid,17,8,5,4,30,18,12,29,Season 61520
6,1,VFL Brussels,17,7,7,3,23,18,5,28,Season 61520
7,1,VFL Amsterdam,17,8,4,5,28,25,3,28,Season 61520
8,0,VFL Athens,17,6,6,5,19,18,1,24,Season 61520
9,0,VFL Lisbon,17,6,5,6,21,19,2,23,Season 61520
10,0,VFL Vienna,17,2,11,4,13,16,-3,17,Season 61520
11,0,VFL Stockholm,17,3,5,9,22,31,-9,14,Season 61520
12,0,VFL Copenhagen,17,3,5,9,12,25,-13,14,Season 61520
13,0,VFL Ankara,17,3,5,9,17,33,-16,14,Season 61520
14,-1,VFL Bern,17,2,6,9,19,28,-9,12,Season 61520
15,1,VFL Paris,17,2,6,9,12,26,-14,12,Season 61520
16,0,VFL Edinburgh,17,0,7,10,10,32,-22,7,Season 61520
1,0,VFL London,18,13,1,4,37,17,20,40,Season 61520
2,0,VFL Rome,18,12,3,3,36,18,18,39,Season 61520
3,0,VFL Berlin,18,11,4,3,33,16,17,37,Season 61520
4,0,VFL Oslo,18,10,5,3,27,17,10,35,Season 61520
5,0,VFL Madrid,18,9,5,4,34,18,16,32,Season 61520
6,0,VFL Brussels,18,8,7,3,24,18,6,31,Season 61520
7,0,VFL Amsterdam,18,9,4,5,31,26,5,31,Season 61520
8,-1,VFL Lisbon,18,7,5,6,23,19,4,26,Season 61520
9,1,VFL Athens,18,6,6,6,19,22,-3,24,Season 61520
10,0,VFL Vienna,18,2,12,4,14,17,-3,18,Season 61520
11,0,VFL Stockholm,18,3,5,10,23,33,-10,14,Season 61520
12,0,VFL Copenhagen,18,3,5,10,13,27,-14,14,Season 61520
13,0,VFL Ankara,18,3,5,10,17,35,-18,14,Season 61520
14,0,VFL Bern,18,2,6,10,20,31,-11,12,Season 61520
15,0,VFL Paris,18,2,6,10,12,28,-16,12,Season 61520
16,0,VFL Edinburgh,18,1,7,10,12,33,-21,10,Season 61520
1,0,VFL London,19,14,1,4,38,17,21,43,Season 61520
2,0,VFL Rome,19,12,4,3,38,20,18,40,Season 61520
3,0,VFL Berlin,19,12,4,3,35,17,18,40,Season 61520
4,0,VFL Oslo,19,10,5,4,27,18,9,35,Season 61520
5,-1,VFL Amsterdam,19,10,4,5,34,27,7,34,Season 61520
6,1,VFL Madrid,19,9,5,5,35,21,14,32,Season 61520
7,1,VFL Brussels,19,8,8,3,26,20,6,32,Season 61520
8,0,VFL Lisbon,19,7,5,7,24,21,3,26,Season 61520
9,0,VFL Athens,19,6,7,6,19,22,-3,25,Season 61520
10,0,VFL Vienna,19,2,12,5,14,18,-4,18,Season 61520
11,-1,VFL Copenhagen,19,4,5,10,14,27,-13,17,Season 61520
12,1,VFL Stockholm,19,3,6,10,25,35,-10,15,Season 61520
13,-1,VFL Paris,19,3,6,10,16,29,-13,15,Season 61520
14,1,VFL Ankara,19,3,6,10,19,37,-18,15,Season 61520
15,1,VFL Bern,19,2,6,11,21,35,-14,12,Season 61520
16,0,VFL Edinburgh,19,1,8,10,12,33,-21,11,Season 61520
1,0,VFL London,20,14,2,4,39,18,21,44,Season 61520
2,-1,VFL Berlin,20,13,4,3,37,18,19,43,Season 61520
3,1,VFL Rome,20,12,4,4,39,22,17,40,Season 61520
4,0,VFL Oslo,20,11,5,4,29,19,10,38,Season 61520
5,0,VFL Amsterdam,20,11,4,5,37,27,10,37,Season 61520
6,0,VFL Madrid,20,9,6,5,36,22,14,33,Season 61520
7,0,VFL Brussels,20,8,8,4,26,21,5,32,Season 61520
8,-1,VFL Athens,20,7,7,6,23,24,-1,28,Season 61520
9,1,VFL Lisbon,20,7,6,7,24,21,3,27,Season 61520
10,0,VFL Vienna,20,2,12,6,15,20,-5,18,Season 61520
11,0,VFL Copenhagen,20,4,6,10,15,28,-13,18,Season 61520
12,0,VFL Stockholm,20,3,7,10,25,35,-10,16,Season 61520
13,0,VFL Paris,20,3,7,10,17,30,-13,16,Season 61520
14,-1,VFL Bern,20,3,6,11,22,35,-13,15,Season 61520
15,1,VFL Ankara,20,3,6,11,21,41,-20,15,Season 61520
16,0,VFL Edinburgh,20,1,8,11,12,36,-24,11,Season 61520
1,0,VFL London,21,15,2,4,42,18,24,47,Season 61520
2,0,VFL Berlin,21,13,5,3,38,19,19,44,Season 61520
3,0,VFL Rome,21,13,4,4,42,22,20,43,Season 61520
4,0,VFL Oslo,21,12,5,4,30,19,11,41,Season 61520
5,0,VFL Amsterdam,21,12,4,5,39,27,12,40,Season 61520
6,0,VFL Madrid,21,10,6,5,39,23,16,36,Season 61520
7,0,VFL Brussels,21,8,8,5,27,24,3,32,Season 61520
8,0,VFL Athens,21,7,8,6,26,27,-1,29,Season 61520
9,0,VFL Lisbon,21,7,7,7,27,24,3,28,Season 61520
10,0,VFL Vienna,21,2,12,7,15,23,-8,18,Season 61520
11,0,VFL Copenhagen,21,4,6,11,15,31,-16,18,Season 61520
12,0,VFL Stockholm,21,3,8,10,26,36,-10,17,Season 61520
13,0,VFL Paris,21,3,8,10,18,31,-13,17,Season 61520
14,0,VFL Bern,21,3,6,12,22,36,-14,15,Season 61520
15,0,VFL Ankara,21,3,6,12,21,43,-22,15,Season 61520
16,0,VFL Edinburgh,21,1,9,11,13,37,-24,12,Season 61520
1,0,VFL London,22,15,2,5,43,20,23,47,Season 61520
2,0,VFL Berlin,22,14,5,3,40,20,20,47,Season 61520
3,0,VFL Rome,22,14,4,4,47,23,24,46,Season 61520
4,0,VFL Oslo,22,13,5,4,35,19,16,44,Season 61520
5,0,VFL Amsterdam,22,12,5,5,40,28,12,41,Season 61520
6,0,VFL Madrid,22,10,6,6,39,28,11,36,Season 61520
7,0,VFL Brussels,22,9,8,5,30,24,6,35,Season 61520
8,0,VFL Athens,22,8,8,6,28,28,0,32,Season 61520
9,0,VFL Lisbon,22,7,8,7,28,25,3,29,Season 61520
10,-1,VFL Bern,22,4,6,12,24,36,-12,18,Season 61520
11,1,VFL Vienna,22,2,12,8,16,28,-12,18,Season 61520
12,1,VFL Copenhagen,22,4,6,12,15,33,-18,18,Season 61520
13,-1,VFL Ankara,22,4,6,12,22,43,-21,18,Season 61520
14,1,VFL Stockholm,22,3,8,11,27,38,-11,17,Season 61520
15,1,VFL Paris,22,3,8,11,18,32,-14,17,Season 61520
16,0,VFL Edinburgh,22,1,9,12,13,40,-27,12,Season 61520
1,-1,VFL Berlin,23,15,5,3,43,20,23,50,Season 61520
2,-1,VFL Rome,23,15,4,4,50,25,25,49,Season 61520
3,1,VFL London,23,15,2,6,45,23,22,47,Season 61520
4,0,VFL Oslo,23,13,6,4,37,21,16,45,Season 61520
5,0,VFL Amsterdam,23,13,5,5,44,28,16,44,Season 61520
6,-1,VFL Brussels,23,10,8,5,33,25,8,38,Season 61520
7,1,VFL Madrid,23,10,6,7,39,29,10,36,Season 61520
8,0,VFL Athens,23,8,8,7,28,31,-3,32,Season 61520
9,0,VFL Lisbon,23,7,8,8,28,27,1,29,Season 61520
10,-1,VFL Vienna,23,3,12,8,17,28,-11,21,Season 61520
11,-1,VFL Copenhagen,23,5,6,12,16,33,-17,21,Season 61520
12,-1,VFL Paris,23,4,8,11,20,32,-12,20,Season 61520
13,1,VFL Bern,23,4,6,13,24,37,-13,18,Season 61520
14,1,VFL Ankara,23,4,6,13,23,46,-23,18,Season 61520
15,1,VFL Stockholm,23,3,8,12,27,42,-15,17,Season 61520
16,0,VFL Edinburgh,23,1,10,12,15,42,-27,13,Season 61520
1,0,VFL Berlin,24,16,5,3,44,20,24,53,Season 61520
2,-1,VFL London,24,16,2,6,48,25,23,50,Season 61520
3,1,VFL Rome,24,15,4,5,50,26,24,49,Season 61520
4,0,VFL Oslo,24,13,7,4,39,23,16,46,Season 61520
5,0,VFL Amsterdam,24,13,6,5,44,28,16,45,Season 61520
6,-1,VFL Madrid,24,11,6,7,40,29,11,39,Season 61520
7,1,VFL Brussels,24,10,8,6,34,28,6,38,Season 61520
8,0,VFL Athens,24,8,9,7,28,31,-3,33,Season 61520
9,0,VFL Lisbon,24,8,8,8,31,28,3,32,Season 61520
10,-1,VFL Paris,24,5,8,11,22,32,-10,23,Season 61520
11,1,VFL Vienna,24,3,12,9,17,29,-12,21,Season 61520
12,1,VFL Copenhagen,24,5,6,13,17,36,-19,21,Season 61520
13,-1,VFL Ankara,24,4,7,13,25,48,-23,19,Season 61520
14,1,VFL Bern,24,4,6,14,26,40,-14,18,Season 61520
15,0,VFL Stockholm,24,3,8,13,27,44,-17,17,Season 61520
16,0,VFL Edinburgh,24,2,10,12,18,43,-25,16,Season 61520
1,-1,VFL London,25,17,2,6,50,25,25,53,Season 61520
2,1,VFL Berlin,25,16,5,4,45,24,21,53,Season 61520
3,0,VFL Rome,25,16,4,5,53,28,25,52,Season 61520
4,0,VFL Oslo,25,14,7,4,41,24,17,49,Season 61520
5,0,VFL Amsterdam,25,14,6,5,48,29,19,48,Season 61520
6,-1,VFL Brussels,25,11,8,6,35,28,7,41,Season 61520
7,1,VFL Madrid,25,11,6,8,40,31,9,39,Season 61520
8,0,VFL Athens,25,8,10,7,30,33,-3,34,Season 61520
9,0,VFL Lisbon,25,8,8,9,32,30,2,32,Season 61520
10,0,VFL Paris,25,5,9,11,24,34,-10,24,Season 61520
11,-1,VFL Copenhagen,25,6,6,13,20,37,-17,24,Season 61520
12,1,VFL Vienna,25,3,12,10,18,32,-14,21,Season 61520
13,-1,VFL Edinburgh,25,3,10,12,21,44,-23,19,Season 61520
14,1,VFL Ankara,25,4,7,14,26,51,-25,19,Season 61520
15,1,VFL Bern,25,4,6,15,28,43,-15,18,Season 61520
16,1,VFL Stockholm,25,3,8,14,27,45,-18,17,Season 61520
1,-1,VFL Berlin,26,17,5,4,47,25,22,56,Season 61520
2,1,VFL London,26,17,3,6,51,26,25,54,Season 61520
3,0,VFL Rome,26,16,4,6,53,31,22,52,Season 61520
4,0,VFL Oslo,26,15,7,4,44,24,20,52,Season 61520
5,0,VFL Amsterdam,26,15,6,5,54,29,25,51,Season 61520
6,0,VFL Brussels,26,12,8,6,36,28,8,44,Season 61520
7,0,VFL Madrid,26,12,6,8,43,31,12,42,Season 61520
8,-1,VFL Lisbon,26,9,8,9,34,30,4,35,Season 61520
9,1,VFL Athens,26,8,10,8,30,34,-4,34,Season 61520
10,0,VFL Paris,26,5,9,12,24,40,-16,24,Season 61520
11,0,VFL Copenhagen,26,6,6,14,20,39,-19,24,Season 61520
12,-1,VFL Ankara,26,5,7,14,32,51,-19,22,Season 61520
13,1,VFL Vienna,26,3,12,11,18,38,-20,21,Season 61520
14,1,VFL Edinburgh,26,3,11,12,22,45,-23,20,Season 61520
15,0,VFL Bern,26,4,6,16,29,45,-16,18,Season 61520
16,0,VFL Stockholm,26,3,8,15,27,48,-21,17,Season 61520
1,0,VFL Berlin,27,18,5,4,50,26,24,59,Season 61520
2,0,VFL London,27,18,3,6,53,26,27,57,Season 61520
3,-1,VFL Amsterdam,27,16,6,5,56,29,27,54,Season 61520
4,1,VFL Rome,27,16,5,6,55,33,22,53,Season 61520
5,1,VFL Oslo,27,15,7,5,44,26,18,52,Season 61520
6,-1,VFL Madrid,27,13,6,8,44,31,13,45,Season 61520
7,1,VFL Brussels,27,12,8,7,36,30,6,44,Season 61520
8,0,VFL Lisbon,27,10,8,9,36,31,5,38,Season 61520
9,0,VFL Athens,27,9,10,8,32,34,-2,37,Season 61520
10,-1,VFL Copenhagen,27,6,7,14,21,40,-19,25,Season 61520
11,1,VFL Paris,27,5,9,13,25,43,-18,24,Season 61520
12,0,VFL Ankara,27,5,7,15,32,53,-21,22,Season 61520
13,0,VFL Vienna,27,3,12,12,19,40,-21,21,Season 61520
14,0,VFL Edinburgh,27,3,12,12,24,47,-23,21,Season 61520
15,0,VFL Bern,27,4,6,17,29,46,-17,18,Season 61520
16,0,VFL Stockholm,27,3,9,15,28,49,-21,18,Season 61520
1,0,VFL Berlin,28,18,6,4,51,27,24,60,Season 61520
2,-1,VFL Amsterdam,28,17,6,5,58,29,29,57,Season 61520
3,1,VFL London,28,18,3,7,55,29,26,57,Season 61520
4,0,VFL Rome,28,17,5,6,58,35,23,56,Season 61520
5,0,VFL Oslo,28,15,7,6,44,28,16,52,Season 61520
6,-1,VFL Brussels,28,13,8,7,39,32,7,47,Season 61520
7,1,VFL Madrid,28,13,7,8,45,32,13,46,Season 61520
8,0,VFL Lisbon,28,11,8,9,39,33,6,41,Season 61520
9,0,VFL Athens,28,9,10,9,32,35,-3,37,Season 61520
10,0,VFL Copenhagen,28,7,7,14,22,40,-18,28,Season 61520
11,0,VFL Paris,28,5,9,14,27,46,-19,24,Season 61520
12,0,VFL Ankara,28,5,7,16,34,56,-22,22,Season 61520
13,-1,VFL Bern,28,5,6,17,31,46,-15,21,Season 61520
14,-1,VFL Stockholm,28,4,9,15,30,50,-20,21,Season 61520
15,1,VFL Vienna,28,3,12,13,20,42,-22,21,Season 61520
16,1,VFL Edinburgh,28,3,12,13,24,49,-25,21,Season 61520
1,0,VFL Berlin,29,18,7,4,52,28,24,61,Season 61520
2,0,VFL Amsterdam,29,18,6,5,61,29,32,60,Season 61520
3,0,VFL London,29,19,3,7,56,29,27,60,Season 61520
4,0,VFL Rome,29,17,5,7,58,36,22,56,Season 61520
5,0,VFL Oslo,29,16,7,6,45,28,17,55,Season 61520
6,-1,VFL Madrid,29,14,7,8,47,33,14,49,Season 61520
7,1,VFL Brussels,29,13,9,7,40,33,7,48,Season 61520
8,0,VFL Lisbon,29,12,8,9,40,33,7,44,Season 61520
9,0,VFL Athens,29,9,10,10,32,37,-5,37,Season 61520
10,0,VFL Copenhagen,29,7,7,15,22,43,-21,28,Season 61520
11,-1,VFL Ankara,29,6,7,16,35,56,-21,25,Season 61520
12,1,VFL Paris,29,5,9,15,27,47,-20,24,Season 61520
13,-1,VFL Vienna,29,4,12,13,22,42,-20,24,Season 61520
14,1,VFL Bern,29,5,6,18,31,47,-16,21,Season 61520
15,1,VFL Stockholm,29,4,9,16,30,51,-21,21,Season 61520
16,0,VFL Edinburgh,29,3,12,14,25,51,-26,21,Season 61520
1,0,VFL Berlin,30,19,7,4,57,29,28,64,Season 61520
2,0,VFL Amsterdam,30,19,6,5,64,29,35,63,Season 61520
3,0,VFL London,30,19,3,8,57,31,26,60,Season 61520
4,0,VFL Rome,30,17,6,7,58,36,22,57,Season 61520
5,0,VFL Oslo,30,16,8,6,46,29,17,56,Season 61520
6,0,VFL Madrid,30,14,7,9,47,34,13,49,Season 61520
7,0,VFL Brussels,30,13,10,7,41,34,7,49,Season 61520
8,0,VFL Lisbon,30,13,8,9,43,35,8,47,Season 61520
9,0,VFL Athens,30,10,10,10,34,38,-4,40,Season 61520
10,0,VFL Copenhagen,30,7,8,15,23,44,-21,29,Season 61520
11,0,VFL Ankara,30,7,7,16,36,56,-20,28,Season 61520
12,0,VFL Paris,30,5,10,15,28,48,-20,25,Season 61520
13,0,VFL Vienna,30,4,12,14,22,45,-23,24,Season 61520
14,-1,VFL Stockholm,30,4,10,16,30,51,-21,22,Season 61520
15,1,VFL Bern,30,5,6,19,33,50,-17,21,Season 61520
16,0,VFL Edinburgh,30,3,12,15,26,56,-30,21,Season 61520
1,0,VFL Oslo,1,1,0,0,3,1,2,3,Season 61519
2,0,VFL London,1,1,0,0,2,0,2,3,Season 61519
2,0,VFL Rome,1,1,0,0,2,0,2,3,Season 61519
4,0,VFL Madrid,1,1,0,0,4,3,1,3,Season 61519
5,0,VFL Berlin,1,1,0,0,3,2,1,3,Season 61519
6,0,VFL Ankara,1,1,0,0,2,1,1,3,Season 61519
6,0,VFL Bern,1,1,0,0,2,1,1,3,Season 61519
8,0,VFL Lisbon,1,1,0,0,1,0,1,3,Season 61519
9,0,VFL Amsterdam,1,0,0,1,3,4,-1,0,Season 61519
10,0,VFL Copenhagen,1,0,0,1,2,3,-1,0,Season 61519
11,0,VFL Edinburgh,1,0,0,1,1,2,-1,0,Season 61519
11,0,VFL Paris,1,0,0,1,1,2,-1,0,Season 61519
13,0,VFL Vienna,1,0,0,1,0,1,-1,0,Season 61519
14,0,VFL Brussels,1,0,0,1,1,3,-2,0,Season 61519
15,0,VFL Athens,1,0,0,1,0,2,-2,0,Season 61519
15,0,VFL Stockholm,1,0,0,1,0,2,-2,0,Season 61519
1,-1,VFL Madrid,2,2,0,0,7,4,3,6,Season 61519
2,-1,VFL Berlin,2,2,0,0,5,2,3,6,Season 61519
